Name,Description,Pattern,Pattern Photo,Desc Pattern,Type,Attributes,Related Panel,Related Panel,Related Panel,Related Panel,Related Panel,Related Panel,Photo
Studio Tainy,"Floor to ceiling panels with curved edges, tuned resonating board, Owens Corning 703 Fiberglass filling and Guilford of Maine fabric.",Rectangle Tiles,,Floor to ceiling design with horizontal pattern. Bass traps along the front if needed.,Custom Panels,"Floor to Ceiling, Rectangle, 
 Curved Edges, Tuned Resonating Board, Custom Sizes, Fabric Finish.",Studio Tainy Roof,Studio B,Studio C,,,,https://firebasestorage.googleapis.com/v0/b/acousticlabapp.appspot.com/o/Acoustic%20Panel%20Images%2FPanel_%20Tainy%20Studio.png?alt=media&token=0547acc8-02e3-44c1-99a8-6cfcebb8c4c0
Studio Tainy Modular,"Curved edge panel with tuned resonating board, Owens Corning 703 Fiberglass and Guilfor of Maine Fabric.",Modular,,No Pattern,Standard,"Curved Edges, Tuned Resonating Board, Standard Sizes, Fabric Finish.",Studio Tainy Roof Modular,Studio B Modular,Studio C Modular,24x48,24x24,12x48,https://firebasestorage.googleapis.com/v0/b/acousticlabapp.appspot.com/o/Acoustic%20Panel%20Images%2FPanel_%20Studio%20Tainy%20Modular.png?alt=media&token=1d95d91b-b049-4844-a0d5-8415438ae0fd
Studio Tainy Roof,"Floor to ceiling panels with Interlaced wood pattern, Owens Corning 703 Fiberglass filling and Guilford of Maine fabric for the acoustic base.",Wood Grid,,Floor to ceiling design with horizontal pattern. Bass traps along the front if needed with a thicker acoustic base behind.,Custom Panels,"Floor to Ceiling, Rectangle, Square,
 Straight Edges, Custom Sizes, Ceiling Cloud, Acoustic Base, Heavy, Naked Wood.",Studio Tainy,Studio B,Studio C,,,,https://firebasestorage.googleapis.com/v0/b/acousticlabapp.appspot.com/o/Acoustic%20Panel%20Images%2FPanel_%20Studio%20Tainy%20Roof%20Modular.png?alt=media&token=7ee64d63-4b1f-4e89-8f75-9945f1c8046d
Studio Tainy Roof Modular,"Interlaced square wood pattern with Ownes Corning Fiberglass acoustic base, and Guilford of Marine fabric.",Modular,,No Pattern,Standard,"Straight Edges, Standard Sizes, Square, Rectangle, Ceiling Cloud, Acoustic Base, Heavy, Naked Wood.",Studio Tainy Modular,Studio B Modular,Studio C Modular,24x48,24x24,12x48,https://firebasestorage.googleapis.com/v0/b/acousticlabapp.appspot.com/o/Acoustic%20Panel%20Images%2FPanel_%20Studio%20Tainy%20Roof.png?alt=media&token=07d6ae50-41f1-458d-94fc-763c3ec4774b
Studio B,"Floor to ceiling narrow panels with stright edges and flat front, resonating board, Owens Corning 703 Fiberglass filling and Guilford of Maine fabric. Lightweight.",Narrow Rectangle Tiles,,Floor to ceiling design with narrow horizontal pattern. Bass traps along the front if needed.,Custom Panels,"Floor to Ceiling, Narrow Rectangle, 
 Straight Edges, Tuned Resonating Board, Lightweight, Fabric Finish.",Studio Tainy Roof,Studio Tainy,Studio C,,,,https://firebasestorage.googleapis.com/v0/b/acousticlabapp.appspot.com/o/Acoustic%20Panel%20Images%2FPanel_%20Studio%20B%20Modular.png?alt=media&token=2042ea6c-7039-4ec1-81d6-af1141f46b87
Studio B Modular,Narrow rectangle tiles with a straight edge and flat front. Tuned resonating board with Owens Corning 703 Fiberglass filling and Guilford of Maine Fabric.,Modular,,Narrow Rectangle Patter*,Standard,"Narrow Rectangle, Straight Edge, Flat Front, Resonating Board, Lightweight, Fabric Finish.",Studio Tainy Modular,Studio Tainy Roof Modular,Studio C Modular,24x48,24x24,12x48,https://firebasestorage.googleapis.com/v0/b/acousticlabapp.appspot.com/o/Acoustic%20Panel%20Images%2FPanel_%20Studio%20C%20Modular.png?alt=media&token=0b31ba66-a2de-4066-b750-2bc03c11764f
Studio C,"Floor to ceiling square panels with curved edges, tuned resonating board, Owens Corning 703 Fiberglass filling and Guilford of Maine fabric.",Square Tiles,,Floor to ceiling design with Tiled square pattern. Bass traps along the front if needed.,Custom Panels,"Floor to Ceiling, Square, 
 Curved Edges, Tuned Resonating Board, Custom Sizes, Fabric Finish.",Studio Tainy Roof,Studio B,Studio C,,,,https://firebasestorage.googleapis.com/v0/b/acousticlabapp.appspot.com/o/Acoustic%20Panel%20Images%2FPanel_%20Studio%20C.png?alt=media&token=814c624c-75b4-4540-a79d-5bbd9b61d990
Studio C Modular,"Curved edge square panel with tuned resonating board, Owens Corning 703 Fiberglass and Guilfor of Maine Fabric.",Modular,,Square Pattern*,Standard,"Curved Edges, Tuned Resonating Board, Standard Sizes, Square, Fabric Finish.",Studio Tainy Modular,Studio Tainy Roof Modular,Studio B Modular,Studio C Modular,24x24,12x48,https://firebasestorage.googleapis.com/v0/b/acousticlabapp.appspot.com/o/Acoustic%20Panel%20Images%2FPanel_%20Studio%20C%20Modular.png?alt=media&token=0b31ba66-a2de-4066-b750-2bc03c11764f
24x48,"Rectangle Panel with a wood frame. Tuned resonating board front, Owens Corning 703 Fiberglass and Guilfor of Maine Fabric. Fabric Finish or Naked Wood Finish.",Modular,,No Pattern,Standard,"Rectangle, Straight Edge, Wood Frame, Tuned Resonating Board, Standard Sizes, Rectangle, Fabric Finish or Naked Wood Finish",Studio Tainy Modular,Studio Tainy Roof Modular,Studio B Modular,Studio C Modular,24x24,12x48,https://firebasestorage.googleapis.com/v0/b/acousticlabapp.appspot.com/o/Acoustic%20Panel%20Images%2FPanel_%2024x48.jpg?alt=media&token=65f797a0-2876-4134-bd4a-b6b76fe188c0
24x24,"Square Panel with a wood frame. Tuned resonating board front, Owens Corning 703 Fiberglass and Guilfor of Maine Fabric. Fabric Finish or Naked Wood Finish.",Modular,,No Pattern,Standard,"Square, Straight Edge, Wood Frame, Tuned Resonating Board, Standard Sizes, Rectangle, Fabric Finish or Naked Wood Finish",Studio Tainy Modular,Studio Tainy Roof Modular,Studio B Modular,Studio C Modular,24x48,12x48,https://firebasestorage.googleapis.com/v0/b/acousticlabapp.appspot.com/o/Acoustic%20Panel%20Images%2FPanel_%2024x24.jpg?alt=media&token=40a79808-5691-4930-9dfe-06bfb5ebb951
